cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,1.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3587754447735896,0.660010907195069,0.5993049142289675,0.5933481195912748
2.0,2.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3748064693348288,0.6642550004694042,0.6287058784564868,0.5970524986601156
2.0,3.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3898670558650306,0.6742371585391714,0.5991370645042802,0.6182247745031862
2.0,4.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.374789802279719,0.6973645389622849,0.616632022651319,0.6116660760101239
2.0,5.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4297097726994616,0.7017778822564804,0.6329421962803966,0.6430622788074657
2.0,6.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4012819930771268,0.6809800781498159,0.6028781840461684,0.6271776920462309
2.0,7.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.456432209083837,0.7211918718704872,0.6273377248899081,0.6122869085207805
2.0,8.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.40199302684167,0.6767336504060495,0.6011473831180669,0.6151502349557485
2.0,9.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3788435447730025,0.6791797999850517,0.6011229625346275,0.6270977315658914
2.0,10.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4532023571911714,0.6739888614809147,0.6057240343755049,0.6109516823097821
2.0,11.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3625393702409774,0.7059613795511808,0.6062122066157936,0.6103213744627577
2.0,12.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.434892188964393,0.6876627625994569,0.6235388360025665,0.6428622156129234
2.0,13.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4042404684980165,0.6733096933833672,0.6234314759337377,0.6157090586020308
2.0,14.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.423740846962269,0.6552712478267346,0.6082527957348991,0.6047641057082687
2.0,15.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.424228677168002,0.6758176443019465,0.6185516122483253,0.5988480558479261
2.0,16.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.47554347143249,0.6820407792835205,0.6279974376807809,0.5933608531014763
2.0,17.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3922924556631386,0.6964446523961084,0.607480252898247,0.6150528509446314
2.0,18.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3551529194636873,0.6577004430461321,0.5898766750924404,0.5953553338498716
2.0,19.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.470068235120108,0.7084525793098666,0.6067478742537976,0.6115226259032529
2.0,20.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4086078731775737,0.644835150473178,0.6409115667974644,0.5847281891375148
2.0,21.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.423348226485281,0.6641363273008994,0.6154727165287441,0.6196216564895275
2.0,22.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4408027045423104,0.6736845002980444,0.6183206155444448,0.6226225686691141
2.0,23.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4206183414057065,0.6774564894461921,0.5986514253066694,0.6144889051608066
2.0,24.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4257110266238153,0.7042326058701684,0.6176194391168177,0.6073660967433794
2.0,25.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4066985036510906,0.6718578407068355,0.6085575739959905,0.6155028586647443
2.0,26.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3933392084965295,0.7049238544636789,0.6021694963596653,0.6147074279228678
2.0,27.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.460847855245546,0.686821940824645,0.6156095342597206,0.599067432889457
2.0,28.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3777672917611046,0.6689939545839022,0.6122183886414501,0.611700264741862
2.0,29.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.419437750902344,0.676884523733884,0.599695585708126,0.6192021015706299
2.0,30.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3416375818136546,0.6746255010518785,0.6103801360704879,0.6133144544791159
2.0,31.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.409323318440299,0.7006744690752005,0.6175210688981374,0.6025257848016222
2.0,32.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3738859328057993,0.6920014237327622,0.6071841936181376,0.611672519474208
2.0,33.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.380555251605095,0.6889057026057448,0.6024704994834723,0.6063075833644097
2.0,34.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.448522031300251,0.7201040153273716,0.6129606773530557,0.6332117126626722
2.0,35.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4291243178790713,0.6704856863586093,0.6261754344622368,0.5917832380973186
2.0,36.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3851765048092575,0.6639868373364701,0.6068159032168599,0.5923100641034804
2.0,37.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.388009240520393,0.6592408165162573,0.6276367536010875,0.5922785742509423
2.0,38.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4513205814033303,0.6813170104387639,0.6214210618363013,0.6241063733813161
